Year__,Country__,Medal_count_individual,Medal_count_team
1992,Czechoslovakia,1,2
1992,Finland,5,2
1992,France,7,2
1992,Germany,19,7
1992,Italy,11,3
1992,Japan,5,2
1992,"Korea, North",1,0
1992,"Korea, South",3,1
1992,Luxembourg,2,0
1992,Netherlands,4,0
1992,New Zealand,1,0
1992,Norway,17,3
1992,Spain,1,0
1992,Sweden,3,1
1992,Switzerland,1,2
1992,Unified Team,14,9
1992,United States,10,1
1994,Australia,0,1
1994,Austria,8,1
1994,Belarus,2,0
1994,Canada,10,3
1994,China,3,0
1994,Finland,4,2
1994,France,3,2
1994,Germany,18,6
1994,Italy,14,6
1994,Japan,3,2
1994,Kazakhstan,3,0
1994,"Korea, South",5,1
1994,Netherlands,4,0
1994,Norway,23,3
1994,Russia,16,7
1994,Slovenia,3,0
1994,Sweden,2,1
1994,Switzerland,5,4
1994,Ukraine,2,0
1994,United Kingdom,1,1
1994,United States,11,2
1994,Uzbekistan,1,0
1998,Australia,1,0
1998,Austria,16,1
1998,Belarus,2,0
1998,Belgium,1,0
1998,Bulgaria,1,0
1998,Canada,9,6
1998,China,6,2
1998,Czech Republic,2,1
1998,Denmark,0,1
1998,Finland,8,4
1998,France,5,3
1998,Germany,22,7
1998,Italy,7,3
1998,Japan,9,1
1998,Kazakhstan,2,0
1998,"Korea, South",4,2
1998,Netherlands,11,0
1998,Norway,19,6
1998,Russia,10,8
1998,Sweden,2,1
1998,Switzerland,5,2
1998,Ukraine,1,0
1998,United Kingdom,0,1
1998,United States,10,3
2002,Australia,2,0
2002,Austria,16,1
2002,Belarus,1,0
2002,Bulgaria,3,0
2002,Canada,10,7
2002,China,5,3
2002,Croatia,4,0
2002,Czech Republic,3,0
2002,Estonia,3,0
2002,Finland,5,2
2002,France,9,2
2002,Germany,25,11
2002,Italy,10,3
2002,Japan,2,0
2002,"Korea, South",3,1
2002,Netherlands,8,0
2002,Norway,20,5
2002,Poland,2,0
2002,Russia,9,4
2002,Slovenia,0,1
2002,Sweden,6,1
2002,Switzerland,6,5
2002,United Kingdom,1,1
2002,United States,27,7
2006,Australia,2,0
2006,Austria,20,3
2006,Belarus,1,0
2006,Bulgaria,1,0
2006,Canada,15,9
2006,China,9,2
2006,Croatia,3,0
2006,Czech Republic,3,1
2006,Estonia,3,0
2006,Finland,4,5
2006,France,7,2
2006,Germany,19,10
2006,Italy,5,6
2006,Japan,1,0
2006,"Korea, South",9,2
2006,Latvia,1,0
2006,Netherlands,8,1
2006,Norway,17,2
2006,Poland,2,0
2006,Russia,14,8
2006,Slovakia,1,0
2006,Sweden,8,6
2006,Switzerland,11,3
2006,Ukraine,1,1
2006,United Kingdom,1,0
2006,United States,20,5
